,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
,Buena Vista Horace Mann K-88SN,618,Buena Vista Horace Mann K-8,8,SN,Spanish Immersion (Spanish Speakers),2,1,25%,2,75%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,25%,1,100%,1,0,0%,0,33%
,Burton (Phillip and Sala) HS13CA,764,Burton (Phillip and Sala) HS,13,CA,SDC - Transition Program (CAT),10,4,41%,10,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,4,2,44%,4,100%,6,3,40%,6,100%
,Burton (Phillip and Sala) HS9GE,764,Burton (Phillip and Sala) HS,9,GE,General Education,769,368,48%,769,100%,36,28,78%,36,100%,0,0,-,0,-,0,0,-,0,-,179,54,30%,179,100%,559,294,53%,559,100%
,Burton (Phillip and Sala) HS10GE,764,Burton (Phillip and Sala) HS,10,GE,General Education,18,12,65%,17,97%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,3,1,27%,3,91%,15,11,73%,15,98%
,Burton (Phillip and Sala) HS11GE,764,Burton (Phillip and Sala) HS,11,GE,General Education,10,5,54%,10,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,2,46%,3,100%,7,4,58%,7,100%
,Burton (Phillip and Sala) HS12GE,764,Burton (Phillip and Sala) HS,12,GE,General Education,3,1,25%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,3,1,30%,3,100%
,Burton (Phillip and Sala) HS9MM,764,Burton (Phillip and Sala) HS,9,MM,SDC - Mild to Moderate,17,4,22%,15,91%,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,6,2,24%,6,100%,10,2,20%,9,85%
,Burton (Phillip and Sala) HS10MM,764,Burton (Phillip and Sala) HS,10,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Burton (Phillip and Sala) HS11MM,764,Burton (Phillip and Sala) HS,11,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Burton (Phillip and Sala) HS9MS,764,Burton (Phillip and Sala) HS,9,MS,SDC - Extensive Support,3,1,50%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,60%,1,100%,1,1,40%,1,100%
,Burton (Phillip and Sala) HS10MS,764,Burton (Phillip and Sala) HS,10,MS,SDC - Extensive Support,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,Burton (Phillip and Sala) HS11MS,764,Burton (Phillip and Sala) HS,11,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Burton (Phillip and Sala) HS12MS,764,Burton (Phillip and Sala) HS,12,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Carmichael (Bessie) K-8KFB,449,Carmichael (Bessie) K-8,K,FB,Filipino FLES,19,11,58%,19,100%,7,6,89%,7,100%,0,0,-,0,-,0,0,-,0,-,4,3,86%,4,100%,7,1,14%,7,100%
,Carmichael (Bessie) K-81FB,449,Carmichael (Bessie) K-8,1,FB,Filipino FLES,1,0,33%,1,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,Carmichael (Bessie) K-82FB,449,Carmichael (Bessie) K-8,2,FB,Filipino FLES,1,0,33%,1,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-
,Carmichael (Bessie) K-83FB,449,Carmichael (Bessie) K-8,3,FB,Filipino FLES,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Carmichael (Bessie) K-84FB,449,Carmichael (Bessie) K-8,4,FB,Filipino FLES,1,0,0%,0,33%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,1,0,0%,0,50%
,Carmichael (Bessie) K-85FB,449,Carmichael (Bessie) K-8,5,FB,Filipino FLES,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Carmichael (Bessie) K-8TKGE,449,Carmichael (Bessie) K-8,TK,GE,General Education,51,26,51%,51,99%,8,8,100%,8,100%,0,0,-,0,-,0,0,-,0,-,11,4,33%,11,100%,30,13,42%,30,98%
,Carmichael (Bessie) K-8KGE,449,Carmichael (Bessie) K-8,K,GE,General Education,82,40,48%,82,99%,10,8,84%,10,100%,0,0,-,0,-,0,0,-,0,-,19,6,30%,19,100%,51,24,48%,51,100%
,Carmichael (Bessie) K-81GE,449,Carmichael (Bessie) K-8,1,GE,General Education,5,1,10%,5,95%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,14%,2,86%,3,0,8%,3,100%
,Carmichael (Bessie) K-82GE,449,Carmichael (Bessie) K-8,2,GE,General Education,5,2,43%,5,86%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,3,1,36%,3,91%,3,1,50%,2,80%
,Carmichael (Bessie) K-83GE,449,Carmichael (Bessie) K-8,3,GE,General Education,3,2,62%,3,85%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,3,1,50%,2,80%
,Carmichael (Bessie) K-84GE,449,Carmichael (Bessie) K-8,4,GE,General Education,4,2,35%,3,76%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,2,1,50%,1,83%,3,1,20%,2,70%
,Carmichael (Bessie) K-85GE,449,Carmichael (Bessie) K-8,5,GE,General Education,2,0,0%,2,88%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,75%,1,0,0%,1,100%
,Carmichael (Bessie) K-86GE,449,Carmichael (Bessie) K-8,6,GE,General Education,79,13,17%,63,81%,2,1,83%,2,100%,0,0,-,0,-,0,0,0%,0,100%,24,7,27%,22,90%,54,6,11%,41,76%
,Carmichael (Bessie) K-87GE,449,Carmichael (Bessie) K-8,7,GE,General Education,5,3,67%,5,100%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,4,3,86%,4,100%
,Carmichael (Bessie) K-88GE,449,Carmichael (Bessie) K-8,8,GE,General Education,3,2,62%,3,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%,3,2,60%,3,100%
Opened in 24-25,Carver (Dr George W) ESTKGE,625,Carver (Dr George W) ES,TK,GE,General Education,54,40,74%,53,99%,2,2,100%,2,100%,8,3,35%,8,100%,0,0,-,0,-,13,5,35%,13,100%,40,34,87%,39,99%
,Carver (Dr George W) ESKGE,625,Carver (Dr George W) ES,K,GE,General Education,37,16,45%,37,100%,2,2,100%,2,100%,10,5,51%,10,100%,0,0,-,0,-,19,8,40%,19,100%,17,8,49%,17,100%
,Carver (Dr George W) ES1GE,625,Carver (Dr George W) ES,1,GE,General Education,2,0,0%,2,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,0%,1,100%,1,0,0%,1,100%
,Carver (Dr George W) ES2GE,625,Carver (Dr George W) ES,2,GE,General Education,1,0,0%,1,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,0%,1,100%,0,0,0%,0,100%
,Carver (Dr George W) ES3GE,625,Carver (Dr George W) ES,3,GE,General Education,1,1,60%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,1,0,0%,1,100%
,Carver (Dr George W) ES4GE,625,Carver (Dr George W) ES,4,GE,General Education,2,1,25%,2,100%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,2,1,29%,2,100%,0,0,0%,0,100%
,Carver (Dr George W) ES5GE,625,Carver (Dr George W) ES,5,GE,General Education,1,0,25%,1,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,33%,1,100%,0,0,0%,0,100%
,Chavez (Cesar) ESTKGE,603,Chavez (Cesar) ES,TK,GE,General Education,81,25,31%,80,98%,4,3,93%,3,93%,5,1,25%,5,100%,0,0,-,0,-,29,8,28%,29,100%,51,16,31%,50,98%
,Chavez (Cesar) ESKGE,603,Chavez (Cesar) ES,K,GE,General Education,92,17,18%,92,99%,4,2,50%,4,100%,10,2,21%,10,100%,0,0,-,0,-,42,6,14%,42,100%,48,10,20%,48,99%
,Chavez (Cesar) ES1GE,603,Chavez (Cesar) ES,1,GE,General Education,5,3,52%,5,100%,0,0,-,0,-,1,1,67%,1,100%,0,0,-,0,-,2,1,43%,2,100%,4,2,57%,4,100%
,Chavez (Cesar) ES2GE,603,Chavez (Cesar) ES,2,GE,General Education,2,1,25%,2,75%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,2,1,33%,1,83%,1,0,0%,0,50%
,Chavez (Cesar) ES3GE,603,Chavez (Cesar) ES,3,GE,General Education,5,3,53%,5,95%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,1,1,40%,1,100%,4,2,57%,3,93%
,Chavez (Cesar) ES4GE,603,Chavez (Cesar) ES,4,GE,General Education,3,0,0%,2,80%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,2,0,0%,1,67%
,Chavez (Cesar) ES5GE,603,Chavez (Cesar) ES,5,GE,General Education,1,0,0%,1,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,1,0,0%,0,50%
,Chavez (Cesar) ESKSB,603,Chavez (Cesar) ES,K,SB,Spanish Biliteracy,72,23,32%,72,100%,7,7,96%,7,100%,0,0,-,0,-,0,0,-,0,-,40,14,34%,40,100%,28,7,25%,28,100%
,Chavez (Cesar) ES1SB,603,Chavez (Cesar) ES,1,SB,Spanish Biliteracy,6,2,35%,6,96%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,30%,3,100%,2,1,50%,2,100%
,Chavez (Cesar) ES2SB,603,Chavez (Cesar) ES,2,SB,Spanish Biliteracy,5,1,10%,4,75%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,0,8%,2,69%,0,0,100%,0,100%
,Chavez (Cesar) ES3SB,603,Chavez (Cesar) ES,3,SB,Spanish Biliteracy,5,1,28%,4,94%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,25%,3,100%,1,0,0%,0,50%
,Chavez (Cesar) ES4SB,603,Chavez (Cesar) ES,4,SB,Spanish Biliteracy,8,2,19%,6,81%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,0,7%,3,93%,1,1,100%,1,100%
,Chavez (Cesar) ES5SB,603,Chavez (Cesar) ES,5,SB,Spanish Biliteracy,3,1,42%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,40%,1,100%,1,1,100%,1,100%
,Chavez (Cesar) ES2TC,603,Chavez (Cesar) ES,2,TC,SDC - Total Communication,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Chavez (Cesar) ES3TC,603,Chavez (Cesar) ES,3,TC,SDC - Total Communication,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Chavez (Cesar) ES5TC,603,Chavez (Cesar) ES,5,TC,SDC - Total Communication,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Chin (John Yehall) ESKGE,872,Chin (John Yehall) ES,K,GE,General Education,151,34,22%,136,90%,8,7,94%,8,100%,10,6,66%,10,100%,0,0,-,0,-,10,2,21%,10,100%,128,21,16%,112,88%
,Chin (John Yehall) ES1GE,872,Chin (John Yehall) ES,1,GE,General Education,7,2,28%,6,86%,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,7,2,27%,6,85%
,Chin (John Yehall) ES2GE,872,Chin (John Yehall) ES,2,GE,General Education,4,1,18%,3,59%,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,4,1,14%,2,57%
,Chin (John Yehall) ES3GE,872,Chin (John Yehall) ES,3,GE,General Education,4,2,44%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%,3,2,46%,3,100%
,Chin (John Yehall) ES4GE,872,Chin (John Yehall) ES,4,GE,General Education,5,3,56%,4,94%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,4,2,53%,4,94%
,Chin (John Yehall) ES5GE,872,Chin (John Yehall) ES,5,GE,General Education,6,3,50%,6,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,5,3,48%,5,100%
Opened in 24-25,Chinese Immersion School at DeAvila ESTKCE,509,Chinese Immersion School at DeAvila ES,TK,CE,Cantonese Immersion (All English),171,8,5%,69,40%,10,7,70%,7,70%,0,0,-,0,-,0,0,-,0,-,14,1,9%,9,65%,146,0,0%,52,35%
,Chinese Immersion School at DeAvila ESKCE,509,Chinese Immersion School at DeAvila ES,K,CE,Cantonese Immersion (All English),237,23,10%,166,70%,7,6,89%,7,100%,0,0,-,0,-,0,0,-,0,-,22,6,25%,22,100%,208,12,6%,136,66%
,Chinese Immersion School at DeAvila ES1CE,509,Chinese Immersion School at DeAvila ES,1,CE,Cantonese Immersion (All English),20,2,8%,8,41%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,2,0,0%,1,50%,17,1,4%,6,37%
Opened in 24-25,Chinese Immersion School at DeAvila ESTKCN,509,Chinese Immersion School at DeAvila ES,TK,CN,Cantonese Immersion (Cantonese Speakers),65,13,19%,24,37%,10,7,76%,7,76%,0,0,-,0,-,0,0,-,0,-,5,3,53%,4,80%,48,1,1%,10,21%
,Chinese Immersion School at DeAvila ESKCN,509,Chinese Immersion School at DeAvila ES,K,CN,Cantonese Immersion (Cantonese Speakers),110,33,30%,78,71%,11,10,98%,11,100%,0,0,-,0,-,0,0,-,0,-,8,3,31%,8,100%,87,20,23%,56,64%
,Chinese Immersion School at DeAvila ES1CN,509,Chinese Immersion School at DeAvila ES,1,CN,Cantonese Immersion (Cantonese Speakers),6,1,23%,2,41%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,1,21%,2,50%
,Chinese Immersion School at DeAvila ES2CN,509,Chinese Immersion School at DeAvila ES,2,CN,Cantonese Immersion (Cantonese Speakers),5,2,32%,2,47%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,3,1,45%,1,45%
,Chinese Immersion School at DeAvila ES3CN,509,Chinese Immersion School at DeAvila ES,3,CN,Cantonese Immersion (Cantonese Speakers),6,4,68%,5,82%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,5,4,78%,4,89%
,Chinese Immersion School at DeAvila ES4CN,509,Chinese Immersion School at DeAvila ES,4,CN,Cantonese Immersion (Cantonese Speakers),7,6,82%,7,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,6,5,83%,6,100%
,Chinese Immersion School at DeAvila ES5CN,509,Chinese Immersion School at DeAvila ES,5,CN,Cantonese Immersion (Cantonese Speakers),5,4,78%,4,94%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,3,80%,4,93%
Opened in 25-26,Clarendon ESTKGE,478,Clarendon ES,TK,GE,General Education,467,15,3%,191,41%,26,15,59%,19,73%,62,12,19%,20,32%,0,0,-,0,-,29,2,5%,23,78%,367,0,0%,146,40%
,Clarendon ESKGE,478,Clarendon ES,K,GE,General Education,648,44,7%,476,73%,24,11,45%,24,100%,84,34,40%,62,74%,0,0,-,0,-,43,6,15%,43,100%,510,0,0%,360,71%
,Clarendon ES1GE,478,Clarendon ES,1,GE,General Education,43,4,9%,22,51%,0,0,-,0,-,5,2,29%,3,52%,0,0,-,0,-,2,1,33%,2,100%,36,2,6%,17,48%
,Clarendon ES2GE,478,Clarendon ES,2,GE,General Education,29,2,5%,11,38%,0,0,0%,0,0%,4,0,6%,2,35%,0,0,-,0,-,2,1,29%,1,71%,23,1,3%,8,36%
,Clarendon ES3GE,478,Clarendon ES,3,GE,General Education,26,2,9%,14,55%,0,0,0%,0,0%,3,1,33%,1,33%,0,0,-,0,-,1,0,20%,1,100%,21,1,5%,12,56%
,Clarendon ES4GE,478,Clarendon ES,4,GE,General Education,21,4,17%,14,67%,1,0,50%,0,50%,2,1,44%,2,89%,0,0,-,0,-,2,0,11%,2,78%,16,2,13%,10,63%
,Clarendon ES5GE,478,Clarendon ES,5,GE,General Education,13,4,28%,8,64%,0,0,-,0,-,2,1,43%,1,57%,0,0,-,0,-,1,0,0%,0,50%,10,3,27%,7,66%
,Clarendon ES1JB,478,Clarendon ES,1,JB,Japanese Bilingual Bicultural Program,18,2,13%,6,36%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%,17,2,9%,5,32%
,Clarendon ES2JB,478,Clarendon ES,2,JB,Japanese Bilingual Bicultural Program,9,1,14%,3,31%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,67%,8,1,7%,2,23%
,Clarendon ES3JB,478,Clarendon ES,3,JB,Japanese Bilingual Bicultural Program,8,1,16%,3,39%,1,0,50%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,7,1,11%,3,37%
,Clarendon ES4JB,478,Clarendon ES,4,JB,Japanese Bilingual Bicultural Program,5,1,15%,3,50%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,4,0,0%,2,50%
,Clarendon ES5JB,478,Clarendon ES,5,JB,Japanese Bilingual Bicultural Program,2,1,29%,1,71%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,29%,1,71%
New for 26-27,Clarendon ESTKJE,478,Clarendon ES,TK,JE,Japanese Bilingual Bicultural Program - English Cohort,176,10,6%,70,40%,22,10,45%,17,77%,0,0,-,0,-,0,0,-,0,-,13,1,8%,8,62%,142,0,0%,46,32%
,Clarendon ESKJE,478,Clarendon ES,K,JE,Japanese Bilingual Bicultural Program - English Cohort,308,34,11%,209,68%,22,16,71%,22,100%,0,0,-,0,-,0,0,-,0,-,23,6,24%,23,100%,264,13,5%,165,63%
,Clarendon ESKJN,478,Clarendon ES,K,JN,Japanese Bilingual Bicultural Program - Japanese Cohort,18,10,56%,14,76%,3,3,91%,3,100%,0,0,-,0,-,0,0,-,0,-,1,1,40%,1,100%,13,6,47%,9,68%
,Clarendon ESKMM,478,Clarendon ES,K,MM,SDC - Mild to Moderate,13,3,19%,8,60%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,100%,12,2,19%,7,56%
,Clarendon ES1MM,478,Clarendon ES,1,MM,SDC - Mild to Moderate,1,0,0%,1,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,50%
,Clarendon ES2MM,478,Clarendon ES,2,MM,SDC - Mild to Moderate,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,67%
,Clarendon ES3MM,478,Clarendon ES,3,MM,SDC - Mild to Moderate,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,0,0%,0,50%
,Clarendon ES4MM,478,Clarendon ES,4,MM,SDC - Mild to Moderate,0,0,0%,0,0%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Clarendon ES5MM,478,Clarendon ES,5,MM,SDC - Mild to Moderate,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Cleveland ESKGE,481,Cleveland ES,K,GE,General Education,69,21,30%,69,100%,5,4,74%,5,100%,9,3,31%,9,100%,0,0,-,0,-,10,1,10%,10,100%,49,16,33%,49,100%
,Cleveland ES1GE,481,Cleveland ES,1,GE,General Education,2,0,14%,2,86%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,0,17%,1,83%
,Cleveland ES2GE,481,Cleveland ES,2,GE,General Education,4,2,60%,4,100%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,0,0,0%,0,100%,3,2,62%,3,100%
,Cleveland ES3GE,481,Cleveland ES,3,GE,General Education,2,1,50%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,50%,2,100%
,Cleveland ES4GE,481,Cleveland ES,4,GE,General Education,2,1,33%,2,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,2,1,38%,2,100%
,Cleveland ES5GE,481,Cleveland ES,5,GE,General Education,1,1,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,1,67%,1,100%
,Cleveland ESKSB,481,Cleveland ES,K,SB,Spanish Biliteracy,43,13,30%,43,100%,3,3,100%,3,100%,0,0,-,0,-,0,0,-,0,-,5,1,15%,5,100%,34,9,27%,34,100%
,Cleveland ES1SB,481,Cleveland ES,1,SB,Spanish Biliteracy,1,1,60%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,1,0,50%,1,100%
,Cleveland ES2SB,481,Cleveland ES,2,SB,Spanish Biliteracy,1,1,60%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,1,100%,1,100%
,Cleveland ES3SB,481,Cleveland ES,3,SB,Spanish Biliteracy,1,1,50%,1,75%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%
,Cleveland ES4SB,481,Cleveland ES,4,SB,Spanish Biliteracy,2,1,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,0%,0,100%
,Cleveland ES5SB,481,Cleveland ES,5,SB,Spanish Biliteracy,1,1,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%,0,0,0%,0,100%
,Cobb (Dr William L) ESTKGE,525,Cobb (Dr William L) ES,TK,GE,General Education,90,27,30%,89,100%,4,4,100%,4,100%,6,3,40%,6,100%,0,0,-,0,-,9,2,16%,9,100%,72,21,29%,71,100%
,Cobb (Dr William L) ESKGE,525,Cobb (Dr William L) ES,K,GE,General Education,102,21,21%,99,97%,4,4,88%,4,100%,12,5,40%,12,98%,0,0,-,0,-,17,5,27%,17,100%,71,11,15%,69,96%
,Cobb (Dr William L) ES1GE,525,Cobb (Dr William L) ES,1,GE,General Education,7,1,18%,7,96%,0,0,100%,0,100%,1,0,33%,1,100%,0,0,-,0,-,1,1,40%,1,100%,5,0,5%,5,95%
,Cobb (Dr William L) ES2GE,525,Cobb (Dr William L) ES,2,GE,General Education,5,2,43%,5,100%,0,0,100%,0,100%,1,0,50%,1,100%,0,0,-,0,-,1,1,50%,1,100%,4,2,40%,4,100%
,Cobb (Dr William L) ES3GE,525,Cobb (Dr William L) ES,3,GE,General Education,6,3,57%,6,100%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,1,1,100%,1,100%,5,3,58%,5,100%
,Cobb (Dr William L) ES4GE,525,Cobb (Dr William L) ES,4,GE,General Education,3,2,58%,3,92%,0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,1,0,33%,1,67%,2,1,57%,2,100%
,Cobb (Dr William L) ES5GE,525,Cobb (Dr William L) ES,5,GE,General Education,3,2,67%,3,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%,2,2,75%,2,100%
,Denman (James) MS6AF,632,Denman (James) MS,6,AF,SDC – Mild/Mod Autism Focus,11,4,38%,8,79%,1,1,100%,1,100%,0,0,-,0,-,5,3,60%,5,90%,2,0,11%,2,89%,3,1,15%,2,54%
,Denman (James) MS7AF,632,Denman (James) MS,7,AF,SDC – Mild/Mod Autism Focus,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,0,0,100%,0,100%
,Denman (James) MS8AF,632,Denman (James) MS,8,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Denman (James) MS7ED,632,Denman (James) MS,7,ED,SDC - SOAR,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Denman (James) MS8ED,632,Denman (James) MS,8,ED,SDC - SOAR,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Denman (James) MS6GE,632,Denman (James) MS,6,GE,General Education,584,299,51%,575,98%,29,26,92%,28,99%,0,0,-,0,-,175,126,72%,175,100%,92,30,32%,92,100%,315,138,44%,306,97%
,Denman (James) MS7GE,632,Denman (James) MS,7,GE,General Education,17,12,69%,15,91%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,50%,2,100%,15,11,70%,14,90%
,Denman (James) MS8GE,632,Denman (James) MS,8,GE,General Education,10,5,51%,10,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,0%,2,100%,8,5,63%,8,100%
,Denman (James) MS6MM,632,Denman (James) MS,6,MM,SDC - Mild to Moderate,12,4,29%,10,81%,0,0,-,0,-,0,0,-,0,-,2,2,75%,2,88%,5,1,28%,4,94%,6,1,20%,5,72%
,Denman (James) MS7MM,632,Denman (James) MS,7,MM,SDC - Mild to Moderate,1,1,75%,1,75%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,1,1,100%,1,100%
,Denman (James) MS8MM,632,Denman (James) MS,8,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Denman (James) MS6MS,632,Denman (James) MS,6,MS,SDC - Extensive Support,5,2,35%,5,100%,0,0,-,0,-,0,0,-,0,-,1,1,60%,1,100%,1,1,50%,1,100%,3,1,18%,3,100%
,Denman (James) MS7MS,632,Denman (James) MS,7,MS,SDC - Extensive Support,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,Denman (James) MS8MS,632,Denman (James) MS,8,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Drew (Dr Charles) College Preparatory Academy ESTKGE,507,Drew (Dr Charles) College Preparatory Academy ES,TK,GE,General Education,56,34,61%,56,100%,3,3,100%,3,100%,4,2,47%,4,100%,0,0,-,0,-,21,9,45%,21,100%,32,23,72%,32,100%
